"Table 226.40. SAT mean scores of high school seniors, standard deviations, and percentage of the graduating class taking the SAT, by state: Selected years, 2018 through 2023
              ",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
South Carolina ,1070,178,547,92,523,98,55,1036,186,529,98,507,99,48,1030,188,526,98,504,100,51,1028,188,527,98,501,101,50,
South Dakota ,1241,205,622,103,618,116,3,1215,180,605,92,610,101,1,1219,178,608,93,611,98,2,1208,211,605,108,602,113,1,
Tennessee ,1231,192,624,93,607,110,6,1220,193,618,95,602,109,4,1200,191,610,95,589,108,5,1191,199,606,99,585,112,4,
Texas ,1032,197,520,102,512,105,66,1003,202,505,104,498,107,59,1001,201,506,103,495,107,64,978,204,497,106,481,109,71,
Utah ,1230,191,618,95,612,108,4,1238,188,621,95,617,107,1,1233,194,618,100,615,108,2,1239,196,621,101,618,109,2,
Vermont ,1120,178,565,94,554,99,64,1124,182,571,94,553,101,41,1095,181,558,97,537,97,48,1099,183,563,96,536,99,45,
Virginia ,1117,189,567,95,550,105,68,1151,192,584,96,567,107,41,1124,198,572,100,552,110,48,1113,204,569,103,544,112,49,
Washington ,1081,201,543,104,538,108,69,1072,227,537,115,535,121,27,1096,225,554,114,542,122,32,1081,229,549,115,532,123,37,
West Virginia ,999,186,513,96,486,101,28,1007,167,520,89,487,89,45,938,172,481,94,456,89,84,923,175,478,94,445,93,90,
Wisconsin ,1294,180,641,93,653,102,3,1215,212,604,107,611,120,1,1252,204,622,102,629,114,2,1236,213,615,108,621,117,2,
Wyoming ,1257,178,633,90,625,100,3,1233,150,626,78,607,86,2,1244,184,627,94,617,102,2,1200,177,604,88,596,97,1,
"\1\Possible scores on each SAT section range from 200 to 800, for a total possible score of 400 to 1600.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
\2\Members of the graduating class who had taken the SAT as a percentage of all students who graduated in that school year. State percentages were calculated by the College Entrance Examination Board based on the number of high school graduates in each state as projected by the Western Interstate Commission for Higher Education (WICHE). The total percentage for the United States was calculated by the National Center for Education Statistics (NCES) based on NCES projections of the total number of U.S. high school graduates.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"NOTE: The SAT was completely redesigned in 2016. The new SAT was first administered in March of 2016. This table reflects 2018 through 2023 high school graduates who took the new SAT during high school. The data in this table do not factor in performance on the old SAT, and the data for 2017 set a new baseline for future year-to-year comparisons. If a student took the new SAT more than once, the most recent score on each section is used, along with the student's most recent responses to the SAT questionnaire. Some data have been revised from previously published figures.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
"SOURCE: College Entrance Examination Board, SAT Suite of Assessments Annual Report: State Reports, 2018 through 2023, retrieved December 5, 2023, from https://reports.collegeboard.org/sat-suite-program-results; National High School Graduates Projection Model, through 2031-32. (This table was prepared December 2023.)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
